bank_id,date,amount,description,reference_id
BNK_001,2026-08-01,1250.0,ACME CORPORATION WIRE TRF INV-1001,INV-1001
BNK_002,2026-08-02,840.0,SLACK TECHNOLOGIES INC ACH TRF SUB-SLK-201,SUB-SLK-201
BNK_003,2026-08-03,14500.0,DEEL GLOBAL PAYROLL WIRE TRF PAY-DEEL-88,PAY-DEEL-88
BNK_004,2026-08-04,249.9,ZOOM VIDEO COMM CARD TRF SUB-ZM-912,SUB-ZM-912
BNK_005,2026-08-05,3200.0,DATADOG CLOUD MONITORING ACH TRF INV-DD-304,INV-DD-304
BNK_006,2026-08-06,1800.0,HUBSPOT INC ACH TRF INV-HB-552,INV-HB-552
BNK_007,2026-08-07,450.0,FIGMA ENTERPRISE CARD TRF SUB-FIG-102,SUB-FIG-102
BNK_008,2026-08-08,200.0,CLOUDFLARE CDN ACH TRF INV-CF-889,INV-CF-889
BNK_009,2026-08-09,1680.5,TWILIO COMMUNICATIONS ACH TRF INV-TW-401,INV-TW-401
BNK_010,2026-08-10,5400.0,SNOWFLAKE DATA CLOUD WIRE TRF INV-SNOW-901,INV-SNOW-901
BNK_011,2026-08-11,7200.0,SALESFORCE.COM INC WIRE TRF INV-SF-112,INV-SF-112
BNK_012,2026-08-12,950.0,ATLASSIAN JIRA/CONFLUENCE CARD TRF SUB-ATL-780,SUB-ATL-780
BNK_013,2026-08-13,2500.0,CARTA EQUITY MGMT ACH TRF INV-CRT-334,INV-CRT-334
BNK_014,2026-08-14,1120.0,MONGODB ATLAS CARD TRF INV-MDB-551,INV-MDB-551
BNK_015,2026-08-15,8900.0,WORKDAY HCM WIRE TRF INV-WD-441,INV-WD-441
BNK_016,2026-08-16,3500.0,VANTA COMPLIANCE ACH TRF INV-VN-202,INV-VN-202
BNK_017,2026-08-17,120.0,RAMP FINANCIAL ACH TRF FEE-RMP-01,FEE-RMP-01
BNK_018,2026-08-18,2100.0,ZENDESK SUPPORT SUITE ACH TRF INV-ZEN-667,INV-ZEN-667
BNK_019,2026-08-19,650.0,ASANA ENTERPRISE CARD TRF SUB-ASN-991,SUB-ASN-991
BNK_020,2026-08-20,420.0,DIGITALOCEAN DROPLETS CARD TRF INV-DO-772,INV-DO-772
BNK_021,2026-08-21,4500.0,BREX CORPORATE PAY WIRE TRF PAY-BRX-112,PAY-BRX-112
BNK_022,2026-08-22,11200.0,GUSTO PAYROLL TRANSFER ACH TRF PAY-GST-890,PAY-GST-890
BNK_023,2026-08-23,1850.0,OPENAI API PLATFORM CARD TRF SUB-OAI-334,SUB-OAI-334
BNK_024,2026-08-24,790.0,STRIPE TERMINAL HARDWARE CARD TRF INV-STR-091,INV-STR-091
BNK_025,2026-08-25,920.0,DOCUSIGN CORPORATE ACH TRF INV-DOC-448,INV-DOC-448
BNK_026,2026-08-01,800.0,NOTION TEAM ENTERPRISE CARD TRF SUB-NTN-221,SUB-NTN-221
BNK_027,2026-08-02,1500.0,SEGMENT DATA STREAMS ACH TRF INV-SEG-114,INV-SEG-114
BNK_028,2026-08-03,360.0,LINEAR SOFTWARE CARD TRF SUB-LIN-772,SUB-LIN-772
BNK_029,2026-08-04,240.0,VERCEL PRO HOSTING CARD TRF SUB-VRC-003,SUB-VRC-003
BNK_030,2026-08-05,1490.0,GITHUB ENTERPRISE SERVER CARD TRF SUB-GH-882,SUB-GH-882
BNK_031,2026-08-06,450.0,SENDGRID EMAIL API ACH TRF INV-SG-993,INV-SG-993
BNK_032,2026-08-07,320.0,MIRO TEAM COLLABORATION CARD TRF SUB-MIR-441,SUB-MIR-441
BNK_033,2026-08-08,299.0,1PASSWORD BUSINESS CARD TRF SUB-1PW-881,SUB-1PW-881
BNK_034,2026-08-09,180.0,GRAMMARLY BUSINESS CARD TRF SUB-GRM-002,SUB-GRM-002
BNK_035,2026-08-10,250.0,LOOM VIDEO ENTERPRISE CARD TRF SUB-LM-661,SUB-LM-661
BNK_036,2026-08-11,149.0,CANVA DESIGN TEAMS CARD TRF SUB-CNV-554,SUB-CNV-554
BNK_037,2026-08-12,890.0,POSTMAN ENTERPRISE API ACH TRF INV-PST-771,INV-PST-771
BNK_038,2026-08-05,6840.5,AMZN WEB SERV AWS EMEA SEATTLE,AWS-AUG-26
BNK_039,2026-08-06,4999.0,INBOUND WIRE CUST 808 ACME CORP,INV-ACM-808
BNK_040,2026-08-07,720.0,GSUITE_CC_US881 GOOGLE APPS,GSUITE-AUG
BNK_041,2026-08-11,3420.48,NOTION LABS INTL USD CONVERT,NTN-INTL-10
BNK_042,2026-08-13,9710.0,STRIPE PAYMENTS PAYOUT BATCH 991,STR-PO-991
BNK_043,2026-08-15,4500.0,MSFT *AZURE EMEA OPERATIONS,MSFT-AZ-114
BNK_044,2026-08-16,2965.0,INTL WIRE TRF INTERCOM R&D,INT-8821
BNK_045,2026-08-18,345.8,FEDEX FREIGHT CORP EXPRESS,FDX-7721
BNK_046,2026-08-19,890.2,UBER FOR BUSINESS RIDES BATCH,UBR-BIZ-89
BNK_047,2026-08-21,8200.0,ORACLE AMERICA CLOUD INFRA,ORA-CLD-90
BNK_048,2026-08-22,1250.0,LINKEDIN TALENT RECRUITING,LNKD-AUG-21
BNK_049,2026-08-24,490.0,EXPENSIFY INC MONTHLY FEES,EXPF-AUG-44
BNK_050,2026-08-25,1420.5,AIRBNB WORK TRAVEL SAN JOSE,ABNB-TRV-10
BNK_051,2026-08-26,580.0,INTUIT QUICKBOOKS PAYROLL SVC,QB-PAY-580
BNK_052,2026-08-27,2499.0,APPLE STORE R551 CUPERTINO,AAPL-DEV-99
BNK_053,2026-08-29,-35.0,SVB WIRE SERVICE CHARGE DOMESTIC,FEE-SVB-AUG
BNK_054,2026-08-29,1250.0,UNKNOWN INBOUND REMIT REF 99812,UNREC-REM-99
BNK_055,2026-08-23,-149.0,GITHUB INC RECURRING SUB DUPL,CARD-GH-DUP
BNK_056,2026-08-28,-18.5,FOREIGN EXCHANGE DISPATCH FEE,FX-FEE-27
BNK_057,2026-08-30,-200.0,ATM CASH WITHDRAWAL HARBOR ST,ATM-WITH-29
BNK_058,2026-08-30,-450.0,STRIPE CHARGEBACK DISPUTE REVERSAL,DISP-STR-45
BNK_059,2026-08-31,-25.0,MONTHLY ACCOUNT MAINTENANCE FEE,MAINT-FEE-30
